지역,일시,강수량,평균 일일 공기 온도(도),일일최소 온도(도),일일최대 온도(도),Regosol,Cambisol,Fluvisol,Arenosols,Solonchak,Rendzina,Podzols,Lithosols,Gleysols,Phaeozems,Ferralsols,Luvisol,Histosols,Acrisols,Andosols,Outcrops
홍천,2017-07-01,578.4,26.1,20.5,35.2,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2017-08-01,326.1,24.4,13.7,37.2,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2018-07-01,204.5,26.6,13.8,38.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2018-08-01,300.6,27.2,15.8,41,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2018-06-01,101.4,22.6,11.3,33.9,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2018-09-01,77,19.2,7.6,30.9,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2018-05-01,268.6,17.1,3.6,31.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2017-06-01,41.3,22.3,9.4,35,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2017-09-01,50.4,19.1,6.3,29.9,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2019-05-01,15,18.7,2.7,34.6,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2017-05-01,22.8,18.5,5.5,30.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2017-10-01,40,13.3,-2.9,27.6,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2019-04-01,58.1,11.1,-4.4,29.6,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2018-10-01,110,10.2,-1.7,25.6,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2018-11-01,55.5,5.2,-6.3,20,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2018-03-01,42.8,6.8,-8.2,23.1,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2018-04-01,143.8,12,-2.6,29.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2017-04-01,48.6,13.1,-0.6,29,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
