지역,세부지역,좌표,년,월,"Total Monthly Precipitation
 (in millimeters)(강수량)","Mean Daily Air Temperature
 (in deg Celsius) 
평균 일일 공기 온도(도)","Mean Daily Minimum Air Temperature
 (in deg Celsius) 
 일일최소 온도(도)","Mean Daily Maximum Air Temperature
 (in deg Celsius)  
일일최대 온도(도)",Regosol,Cambisol,Fluvisol,Arenosols,Solonchak,Rendzina,Podzols,Lithosols,Gleysols,Phaeozems,Ferralsols,Luvisol,Histosols,Acrisols,Andosols,Outcrops,과일
멕시코,MANZANILLO,"19.117329, -104.336101",2007,1,2.1,25.8,22.0,30.5,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2008,1,0.0,24.3,19.8,30.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2009,1,0.0,25.5,21.7,30.3,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2010,1,47.9,25.4,21.5,30.3,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2011,1,0.0,23.0,18.5,29.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2012,1,57.8,24.0,20.9,30.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2013,1,213.5,25.7,21.8,30.3,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2014,1,2.7,25.6,21.6,30.5,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2015,1,0.0,26.2,22.6,31.5,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2016,1,14.8,25.9,19.6,33.7,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2007,2,2.8,24.6,20.2,29.8,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2008,2,0.0,23.0,17.8,28.7,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2009,2,0.0,25.2,20.8,30.8,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2010,2,198.6,24.4,20.7,29.2,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2011,2,0.0,23.4,19.4,28.8,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2012,2,92.1,23.9,20.6,28.9,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2013,2,0.0,24.9,20.6,29.6,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2014,2,0.0,25.9,21.9,30.6,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2015,2,143.4,24.9,21.2,29.8,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2016,2,0.0,26.5,21.6,33.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2007,3,0.0,25.3,20.9,30.9,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2008,3,0.0,22.1,16.6,28.3,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2009,3,0.0,25.1,21.2,30.1,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2010,3,0.0,24.6,20.7,29.4,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2011,3,0.0,24.0,19.8,29.3,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2012,3,0.0,24.4,20.3,29.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2013,3,0.0,25.4,20.8,31.1,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2014,3,0.0,24.9,20.5,30.4,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2015,3,188.1,25.2,21.4,30.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2016,3,2.6,25.0,15.2,33.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2007,4,0.0,24.7,20.6,30.1,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2008,4,0.0,25.2,20.8,30.3,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2009,4,0.0,24.5,20.3,30.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2010,4,0.0,24.6,20.7,29.2,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2011,4,0.0,25.5,21.6,30.4,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2012,4,0.0,22.9,18.6,27.8,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2013,4,0.0,24.9,20.3,30.5,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2014,4,0.0,26.5,22.1,31.9,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2015,4,0.0,26.4,22.9,30.8,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2016,4,0.0,25.5,19.4,34.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2007,5,0.0,26.0,22.5,30.9,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2008,5,25.9,26.5,23.0,31.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2009,5,29.4,27.1,23.7,31.8,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2010,5,0.0,25.7,22.1,30.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2011,5,0.0,28.1,25.0,32.5,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2012,5,76.0,26.9,23.5,31.1,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
